Descrição,Not. autor
"Patterson, Keith, 1925-",P317
"Patterson, Vernon",K26p
"Patton, Mary",
"Patulea-Dragut, Gabriela, 1935-",P322
Pau Waelder,
Paul de Vree,
Paul Éluard,
Paul Ganz,
Paul Gardner,
Paul Gay,
Paul Hervé,
Paul Hofer,
Paul J. Harden Et Al,
Paul J. Smith,
Paul Jones,
Paul L. Grigaut,
Paul Laporte,
Paul Leonhard Ganz,
Paul Mattick,
Paul Mocsanyi,
Paul Morland,
Paul N. Perrot,
Paul Neuhuys,
Paul Oppé,
Paul Ortwin Rave,
Paul Pangaro,
Paul Pangaro Et Al,
Paul Petrescu,
Paul Raeside,
Paul Sacher,
Paul Signac,
Paul Skaf,
Paul Valéry,
Paul Vandenbroeck,
Paul Webb,
"Paul Webb, Diana Araújo Pereira, Adolfo Montejo Navas",
Paul Wengraf,
Paul Wescher,
Paul Westheim,
Paul Yu Pin,
"Paul, Anne",P324p
"Paul, Arthur",
"Paul, Bruno",
"Paul, Dorit",
"Paul, Frédéric",M644p
"Paul, Tessa",T565p
Paula Braga,
Paula de Koenigsberg,
Paula Fisch,
Paula Perissinotto,
Paula Valéria Andrade,
"Paula, Ademar A. de (Ademar Antônio de Paula)",P324a
"Paula, Alda Solange Rodrigues de",MA986pa
"Paula, Antonio de",
"Paula, Carlos de",
"Paula, Dalton, 1982-",Pd324
"Paula, Daniel de, 1987-",P324
"Paula, Douglas de",
"Paula, Eduardo de, 1937-",
"Paula, Flavio Bernardes de",
"Paula, Gervane de, 1961-",
"Paula, Gervane, 1961-",
"Paula, Hugo de, 1917-2013",Ph324
"Paula, José Agrippino de, 1938-2007",
"Paula, Júlio de, 1967-",
"Paula, Luciane Miranda de",
"Paula, Nelson de, 1950-",Pn324
"Paula, Neuza Maria de",
"Paula, Paulo de",
"Paula, Regina de, 1957-",
"Paula, Rogério Cunha de",
"Paula, Sebastião de, 1961-",
"PAULA, Teresa Cristina Toledo de",
"Paula-Lima, Pontes de",
Paul-Emile Borduas,
"Paules, Fernando",
"Pauletti, Rui",
"Pauletti, Ruy",
"Pauletto, Giancarlo",
"Paulhan, Jean, 1884-1968",
"Paulí, Gustav",R942p
"Paulin, Pierre, 1927-2009",
Paulina Pistrak Nemirovsky Et Al,
Paulinho Silva,
Paulino Viapiana,
"Paulino, Ana Maria",
"Paulino, Cecília",
"Paulino, Célia, 1943-",
"Paulino, Inês",
"Paulino, Rosana, 1967-",P328
"Paulino, Valdênia Aparecida",
"Paulitsch, Vivian da Silva",
"Paulitsch, Vivian Paulitsch",
"Pau-Llosa, Ricardo",
Paulo A. Brenta,
Paulo A. Gomes Cardim,
Paulo Andrade Lemos,
Paulo Armando,
Paulo Bezerra,
Paulo Bomfim,
Paulo Bonfim Et Al,
Paulo Bruna,
Paulo Buennos,
Paulo Cabral de Araújo,
Paulo César Brasil do Amaral,
Paulo Cheida Sans,
Paulo de Freitas Costa,
Paulo de Tarso Santos,
Paulo Eiji Kato,
Paulo Emílio Lisboa,
Paulo F. Geyer,
Paulo F. Santos,
Paulo Figueiredo,
Paulo Fischberg Et Al,
Paulo França,
Paulo Geyer,
Paulo Gomes,
Paulo Hamer,
Paulo Henrique Amaral,
"Paulo Henrique Britto, Regina Alfarano, Alison Entrekin",
Paulo Henriques,
Paulo Henriques Brito,
Paulo Henriques Britto,
"Paulo Ii, Giovanni",
Paulo José Amaral,
Paulo Kaiser,
Paulo Laborne,
"Paulo Lacerda, Camila Buzelin",
"Paulo Lacerda, Miguel Aun, Adel Souki",
Paulo Leonel Gomes Vergolino,
Paulo Mendes da Rocha,
Paulo Mendes de Almeida,
Paulo Mugayar Kühl,
Paulo Neves,
Paulo Pasta,
Paulo Pedreira,
Paulo Pires do Rio Et Al,
Paulo Pontes,
Paulo Prado Neto Et Al,
Paulo Quintela,
Paulo Reis,
Paulo Rezende,
Paulo Ribeiro Et Al,
Paulo Roberto Pereira de Souza Et Al,
Paulo Rocha,
"Paulo Sérgio da Silva, Robert Levithan",
"Paulo Skaf, Guillermo Alonso",
"Paulo, Apóstolo, Santo, Ca. 5-Ca. 67",
"Paulo, Hilda de, 1987-",
"Paulo, José, 1922-",P331
"Paulson, Ronald",
"Paulucci di Calboli, Raniero, 1861-1931",
"Paulucci, Enrico, 1901-1999",
"Paulus, Pierre, 1881-1959",
"Paulvé, Dominique",
"Pauri, Giovanni",La842p
"Pauseback, Michael",
"Pausias, 0350? A.C.-0300? A.C",
"Pauw, Cornelius de, 1739-1799",
"Pauwels, D.",
"Pauwels, Dirk",
"Pauwels, H.",
"Pauwels, Henri",
"Pauwels, Hilde",
"Pauwels, Louis",
"Pavam, Rosane",
"Pavanelli, Vera, 1952",
"Pavani, Danilo",
"Pavão Filho, Jadyr",
"Pavão, Luís",
Pavel Oliva,
Pavel Preiss,
"Pavesi, Diva",
"Paveto, Roberto",
"Pavez, Patrícia",
"Pavez, Víctor M., 1969-",Pv337
"Pavia, Lycia Giola",
"Pavlos, 1930-",P338
"Pavlotzky, Raul, 1918-1998",
"Pavolini, Corrado",M692pc
"Pavone, Antonio Paulo",
"Pavoni, Rosanna",P339h
"Pawek, Karl",
"Pax, Jotape, 1984?",
"Paydar, Niloo Imani",P343f
"Payne, Elizabeth H",
"Payro, Julio",
"Payró, Julio e",P346c
"Paz Berruecos, María",
"Paz Castillo, Fernando",P348d
"Paz Jaramillo, Maria de La, 1948-",
"Paz Rivera, María",
"Paz Soldán, Mariano Felipe",
"Paz, Carol",
"Paz, Fernando",
"Paz, João Ponce, 1900-1994",P348
"Paz, Octavio, 1914-1998",P348
"Paz, Samuel",
"Paz, Senel",
"Pazé, 1962-",
"Pazzis-Chevalier, Nicole de",
"Pea, Cesare, 1910-",
"Peabody, Rebecca",Wa177p
"Peacock, Jan, 1955-",
"Peake, Harold",P357b
"Peale, Charles Willson, 1741-1827",
"Peale, James, 1749-1831",
"Peale, Raphaelle, 1774-1825",
"Peale, Rembrandt, 1778-1860",
"Peale, Rubens, 1784-1864",
"Pearce, Barry",
"Pearce, John",P359a
"Pearce, Robert, Tenente",
"Pearman, Hugh, 1955-",P359
"Pears, Peter",
"Pearsall, Ronald",
"Pearson, Alvin W.",
"Pearson, Fiona",E12p
"Pearson, John, 1940-",
"Pearson, Lais Helena da Fonseca",
"Pearson, Lionel G.",
"Pébereau, Michel",
"Pecchio, Giuseppe, 1785-1835",
"Pecci, Giovanni Antonio, 1693-1768",
"Peccini, Daisy",
"Peccinini, Daisy Valle Machado",
Peccinotti,
"Pecego, Glória, 1954-",Pg365
"Pech, Jürgen",
"Pechansky, Clara, 1936-",
"Pechman, Júlio, 1942-2009",
"Pechstein, MAX, 1881-1955",P365
"Peciar Basiaco, Silvestre, 1935-",Pe365
"Pecírka, Jaromír",Rp124p
"Peck, Edward S.",
"Peck, George, 1941-",
"Peck, James, 1968-",
"Peck, Jeffrey M.",
"Peck, Steve",
"Peck, William H",
Pecker,
"Peckham, Morse",
"Peddi, Luigina",
"Pederneiras, José Luis",
"Pederneiras, Raul, 1874-1953",
"Pedersen, A. Hostrup",
"Pedersen, Asbjorn",
"Pedersen, Carl-Henning, 1913-",P371
"Pedersen, Freddy, 1939-",
"Pedersen, Martin",
"Pedersen, Ole Wildt",
"Pedersen, Poul",
"Pedersen, William, 1938-",
"Pedini, Mario",
"Pedio, Renato",
"Pedius, Quintus, 100 D.C",
"Pedonesi, Rita",
"Pedra, Jamison, 1938-",Pe371
"Pedraza, Pilar",
"Pedrazo Polo, Miguel",
"Pedreira, Alfeu",
"Pedreira, Andrea Martha Maciel",
"Pedreira, F",
"Pedreira, José, 1923-1981",
"Pedreira, Lívia",
"Pedreira, MAX, 1978-",
"Pedretti, Bruno",P371o
"Pedretti, Carlo",R136p
"Pedrini, Augusto",P371m
"Pedrini, Luiz",
Pedro Herz,
"Pedro II, Imperador do Brasil, 1825-1891",
Pedro Osvaldo Cruz Et Al,
Pedro Oswaldo Cruz,
"Pedro, Antonio, 1946-",Pa372
"Pedro, Apóstolo, Santo",
"Pedro, Caroline Gabriel",
"Pedro, Gilson",P372i
"Pedro, Ivan",
"Pedro, Vicente João",
"Pedrocco, Filippo",
"Pedroli, Alberto",
"Pedroli, Amleto",
"Pedroni, Ana de Azevedo",
"Pedroni, Michela",
"Pedrosa, Adriano, 1965-",P372
"Pedrosa, Bel, 1962-",P372
"Pedrosa, Bruno, 1950-",Pb372
"Pedrosa, Imair Baptista",
"Pedrosa, Isabel",P372b e.1-2
"Pedrosa, Israel, 1926-2016",P372
"Pedrosa, Ivani, 1955-",
"Pedrosa, João",
"Pedrosa, José, 1915-2002",
"Pedrosa, Mário, 1900-1981",
"Pedrosa, Misabel, 1927-",
"Pedrosa, Neko Pedrosa",
"Pedrosa, Pedrosa",
"Pedrosa, Renata, 1967-",
"Pedrosa, Tânia de Maya",
"Pedrosa, Vera",
"Pedroso, Domício, 1930-",P372
"Pedroso, Franklin Espath",
"Pedroso, J.M. Consiglieri",
"Pedroso, João",
"Pedroso, Lenora",
"Pedroso, Lenora Gomes de Mattos",
"Pedroso, Marilda",
"Pedroso, Mário",
"Pedroso, Néri",
"Pedrotti, Franco",
"Pedroza, Raul",
"Peduzzi, Richard",
"Pée, Herber",
"Pée, Herbert",
"Peeler, Anne",
"Peeters, Clara, Ca. 1594-Ca. 1657",
"Peeters, Henk, 1925-2013",
"Peeters, Sef, 1947-",
"Peeters, Win",
"Peetssa, 1977-",P375
"Pegge, 1997-",
"Peghin, Laura",
"Pegler, Martin M",P376s
"Pegoraro, Lúcio, 1929-",P376
"Pegorin, Flávia",
"Pehrsson, Bettina",
"Peignot, Jérôme",
"Peiming, Yang",
"Peinado, Joaquín, 1898-1975",
"Peirão, Fernanda",
"Peirão, Solange",
"Peirce, Charles Sanders, 1839-1914",
"Peirce, Stephen, 1965-",Ps378
"Peire, Luc, 1916-",
"Peiry, Lucienne",
"Peixoto Junior, Albino J.",
"Peixoto, Ana Maria Santos",
"Peixoto, Elza Ramos",
"Peixoto, Fernando",
"Peixoto, Floriano, 1839-1895",
"Peixoto, José Luís dos Santos",
"Peixoto, José Luiz",
"Peixoto, Luís Carlos, 1889-1973",
"Peixoto, Marcelino, 1971-",P379
"Peixoto, Marcelo",
"Peixoto, Maria Elizabete Santos",
"Peixoto, Nelson Brissac",
"Peixoto, Rafael",
"Peixoto, Renato",
"Peixoto, Ricardo, 1967",
"Peladan, Mérodack J",P381c
"Peláez, Amélia, 1897-1968",P381
"Peláez, Antonio",
"Pelandi, Luigi",G426p
"Pelanti, Paola",
"Pelazzoli, Daniela",
"Pelbart, Peter Pál, 1956-",
"Pelé, 1940-",
"Peleanu, Georgeta",
"Peled, Yiftah, 1964-",
"Pelegrini, Aldo",
"Pelegrini, Renata, 1967-",
Pelicano,
"Pelikan, Jaroslav",P384i
"Pelinck, E.",
"Pelingeiro, Maria Carmen, 1952-",
"Pellan, Alfred, 1906-",Pa385
"Pellati, Francesco",V848p
"Pellaud, Daniela, 1959-",P385
"Pellegrin, 1953-",
"Pellegrin, José Luiz de",
"Pellegrin, Paolo, 1964-",
"Pellegrini, Aldo, 1903-1973",
"Pellegrini, Carla",
"Pellegrini, Carlo",
"Pellegrini, Franca",
"Pellegrini, Giovanni, 1675-1741",P386
"Pellegrini, Giuseppe, 1797-1879",
"Pellegrini, Iacopo, Antonio, 1730-?",
"Pellegrini, Luis",
"Pellegrini, Luiz Fernando Gama",P386d
"Pellegrini, Renata",Pr381
"Pellegrini, Sandra Brecheret",B829p
"Pellegrino Di Mariano Rossini, -1492",
"Pellegrino, Cesar, 1913-",P386
"Pellegrino, Helio",
"Pellegrino, Oscar, 1947-",Po386
"Pelletieri, Osvaldo",
"Pellews, Fiona",
"Pelli Bencivénni, Giuseppe, 1729-1808",
"Pellicer, Carlos",
"Pellicioli, Mauro, 1887-1994",
"Pellier, Alexis",
"Pellin, Vera",
"Pellini, Giovanni",
"Pellizza da Volpedo, Giuseppe, 1868-1907",
"Pellizzari, Achille",P391t
"Pellizzari, Celina de Cerqueira",
"Pelloille, Michel, 1956-",
"Péloquin, Claude, 1942-",P392
"Pelt, Jan Van",
"Peltzer, Maria",
"Peluffo Linari, Gabriel",Fm866pe
"Peluffo, Gabriel",
"Pelusi, Simonetta",MP986p
"Peluso, Aurélio",P393
"Peluso, John F",
"Pemán, César",
"Peña, Angel, 1949-",
"Pena, Antonio, 1894-1947",
"Pena, Cornélio de Oliveira, 1896-1958",P397
"Peña, Ireri de La, 1960-",
"Peña, José Maria",
"Peña, Osvaldo",
"Peña, Tonita, 1893-1949",
"Pena-Costa, Valéria, 1964-",
"Peñafiel M., Renato",
"Peñafiel, Renato",
"Penaforte, Raimundo",
"Penagini, Siro, 1885-1952",
"Penalba, 1918-1982",
"Penck, A. R., 1939-",Pr397
"Pencz, Georg, 1500-1550",P397
"Penedo, Clécio, 1936-",
Penelope Curtis,
"Penha, Miguel, 1961-",P399
"Pénichon, Sylvie",P411p
"Peñloza, Jaime",
"Penn, Irving, 1917-2009",Pi412
"Penna, Alceu, 1915-1980",P412
"Penna, Alícia Duarte",
"Penna, Christina Scarabôtolo Gabaglia",
"Penna, Isaura, 1955-",
"Penna, J. O. de Meira",P412q
"Penna, João Camillo",
"Penna, Júnia, 1966-",
"Penna, Nilson",
"Penna, Paulo Camillo",
"Penna, Paulo, 1949-1988",P412
"Pennacchi, Fulvio, 1905-1992",Pf412
"Pennacchi, Laura",
"Pennacchi, Lucas",
"Pennacchi, Valerio",Pf412
"Pennachi, Fulvio, 1905-1992",
"Pennazzi, L.",
"Penne, Olivier, 1831-1897",
"Pennell, Elizabeth Robins",W576p
"Pennell, Joseph",
"Penner, Marta, 1965-",
"Penney, David W.",
"Penny, Nicholas",
"Penone, Giuseppe, 1947-",P416
"Penrose, Martin, 1947-",P417
"Penrose, Roland",P586pe
"Pensotti, Anita",
"Penteado Neto, Onofre de Arruda",P419e
"Penteado, André, 1970-",Pe419
"Penteado, Darcy, 1926-1987",P419
"Penteado, Duda, 1968-",P419
"Penteado, Fábio, 1929-2011",Pf419
"Penteado, J. Roberto Whitaker",
"Penteado, José Octavio",
"Penteado, José Roberto Whitaker",P419t
"Penteado, Olívia Guedes, 1872-1934",
"Penteado, Onofre",
"Penteado, Yara",
"Penter, Marta, 1957-",Pm419
"Pentz, Peter Pentz",
"Peñuela Cañizal, Eduardo",M528p
"Penwarden, Charles",
"Penz, Cristina",
"Pepich, Bruce W.",
"Pépin, Yves",
Peppe Avallone,
"Pepper, Beverly, 1924-",P424
"Pepper, Stephen",
"Pepper, Terence",
"Peppiatt, Michael, 1941-",P424
"Peppl, Renata",
"Pequeno, Fernanda, 1983-",
"Pera, Luciano, 1925-",PL426
"Peraile, Isabel Izquierdo",
"Peralta Ramos, Frederico, 1914-",
"Perán, Martí",
"Peranda, Sante, 1566-1638",
Per-Anders Allsten,
"Perard, Victor",P426d
"Perasso, J. A.",
"Perasso, Meme",
"Peraza, Nilda",
"Perazzo, Nelly",
"Pércia, Verônica",
"Percy, Ann",
"Perdigão, José de Azeredo",
"Perdomi, Carlo",
"Perdreira, José, 1923-1981",
"Perdrizet, Paul",P433b
"Pereda, Raquel",
"Peredi, Mária",
"Peregrino, Julia",
"Peregrino, Luiz",
"Peregrino, Nadja",
"Peregrino, Nadja Fonseca",
"Pereida, Ralph",
"Pereira Júnior, Araken Campos",P428a
"Pereira Junior, Francisco",
"Pereira Júnior, José Antonio",
"Pereira Júnior, Vantoen",
"Pereira, Albano da Silva, 1950-",
"Pereira, Albano Silva",
"Pereira, Alceu",
"Pereira, Aline",
"Pereira, Antonio Prado Fonseca Goulart",
"Pereira, Arnaldo de Souza",
"Pereira, Artur, 1920-2003",
"Pereira, Baltazar",
"Pereira, Bernardo Futscher",
"Pereira, Cassiano",
"Pereira, Celso",
"Pereira, Cláudio",
"Pereira, Danilo Pêra",
"Pereira, Dercy, 1969-",
"Pereira, Diana Araujo",
"Pereira, Edmar",
"Pereira, Fernando António Baptista",
"Pereira, Gustavo",
"Pereira, Hamilton",
"Pereira, Helena Bonito Couto",
"Pereira, Heloisa Bruck",
"Pereira, Irene Rice, 1907-1971",Pi436
"Pereira, Itan",
"Pereira, Izabel Aparecida",
"Pereira, J. Eduardo de Lima",
"Pereira, Jimena",
"Pereira, João Baptista Borges",P436i
"Pereira, João Carlos",
"Pereira, João Castel-Branco",
"Pereira, Joaquim Antonio",
"Pereira, José",
"Pereira, José Carlos",
"Pereira, José Eduardo de Lima",
"Pereira, José Eduardo Lima",
"Pereira, Juliano Aparecido",
"Pereira, Juvenal, 1946-",P436
"Pereira, Lúcia Miguel, 1901-1959",
"Pereira, Luciana Casagrande",
"Pereira, Luiz Carlos Bresser",
"Pereira, Luiz Ernesto Meyer",
"Pereira, Marcos da Veiga",
"Pereira, Margareth da Silva",
"Pereira, Maria Amélia",
"Pereira, Maria Ermantina Galvão Gomes",
"Pereira, Maria Zaroni",
"Pereira, MAX",
"Pereira, Miguel",
"Pereira, Onésimo Alves",
"Pereira, Patrícia de Paula",
"Pereira, Paulo",P436t
"Pereira, Paulo Roberto",
"Pereira, Paulo, 1978-",
"Pereira, Regina",
"Pereira, Regina da Veiga",
"Pereira, Reginaldo",
"Pereira, Ricardo",
"Pereira, Roberto",
"Pereira, Ronan Alves",
"Pereira, Rubens Salomé",
"Pereira, S. Rodrigues",
"Pereira, Sandro, 1974-",
"Pereira, Santidio, 1996-",Ps436
"Pereira, Selma",
"Pereira, Sonia Gomes",
"Pereira, Telmo de Jesus",
"Pereira, Teresa Pacheco",MN986p
"Pereira, Thales S. F., 1952-",
"Pereira, Valquiria Prates",
"Pereira, Vantoen",
"Pereira, Vera",
"Pereira, Wilcon Joia",P436e
"Perelli, Luigi",Ct915t
"Perennès, Marie",
"Pereora, João Castel-Branco",
"Perera, H. L. de",
"Peres, Ado",
"Peres, Adon",
"Peres, Andréia",
"Peres, Eraldo, 1959?-",P434
"Peres, Fernando da Rocha",
"Peres, Javier",
"Peres, Luis Francisco",
"Peres, Nestor",
"Peress, Gilles, 1946-",
"Peresutti, Enrico, 1908-1976",
"Péret, Benjamín",
"Peret, Flávia",P437i
"Peretti, Liselotte, 1951-",
"Peretti, Marianne, 1927-2022",P437
"Peretto, José, 1874-1949",P437
"Peretz, Don",
"Peretz, Yoram",
"Pereyra, Nora, 1951-",
"Pérez Agirregoikoa, Juan, 1963-",Pr438
"Pérez- Barreiro, Gabriel",
"Pérez Bravo, Marta María, 1959-",
"Pérez Córdova, Tania",Pt438
"Perez de Alesio, Mateo, 1547-1600?",
"Pérez de Ayala, Juan",
"Perez de Barradas, J",
"Perez de Barradas, Jose",C718pa
"Pérez de Cuéllar, Javier",
"Pérez Diaz, Enrique",
"Pérez Ferrero, Miguel",
"Pérez Minguez, Luis",
"Pérez Molek, Amalia, 1948-",Pm438
"Pérez Monzón, Gustavo, 1956-",Pg438
"Pérez Mora, Ana Virginia",
"Perez Ortega, Gustavo",
"Pérez Rubio, Agustín",
"Pérez Sanchez, Alfonso E.",
"Pérez Touriño, Emilio",
"Pérez V., Carlos",
"Pérez Villalta, Guillermo, 1948-",
"Pérez y Pérez, Rafael Alfonso, 1965-",
"Perez, Alberto",
"Perez, Amador de Carvalho, 1952-",Pc438
"Perez, Ary, 1954-",Py438
"Perez, Augusto, 1929-",Pa438
"Pérez, Carolina",
"Pérez, Daniela",
"Perez, E.",
"Perez, Elba",
"Perez, Eneida, 1946-",
"Pérez, Felicidad",
"Perez, Francisco, 1943-",
"Perez, Javier, 1968-",Pj438
"Pérez, Luis Francisco",
"Perez, Maria Carlota",
"Perez, Marie Felice",
"Pérez, Marta Arjona",
"Perez, Mazda, 1944-",P438
"Perez, Nissan N.",
"Perez, Ramon",
"Perez, Rossini, 1932-2020",Po438
"Perez, Sophia",
"Perez, Teresa",P438t
"Pérez, Trinidad",
"Pérez-Barreiro, Gabriel",
"Pérez-Jofre, Teresa",Mt986p
"Pérez-Oramas, Luis",
"Pérez-Ormas, Luis",
"Pérez-Ratton, Virginia, 1950-2010",
"Peria, Michelle",
"Periaeinen, Tapio",
"Peric, Theresa",M742pt
"Péricard, Michel",
"Péricles, 495? A.C-0429 A.C",
"Périer, Henry",
"Périgo, Katiúcya",
"Périgo, Marcio, 1949-",P444
"Perilli, Achille, 1927-",Pa444
"Perim, Paula",
"Perin, Gilberto, 1953-",
"Perina, Thomaz, 1920-",Pe445
"Perini, Daniel",
"Perini, Giulio, Abade, Séc. 18",
"Periscinoto, Alex, 1925-2021",
"Perissinoto, Giuseppi, 1881-1965",P446
"Perissinoto, Luciano",
"Perissinoto, Paula",
"Perissinotto, Giuseppe, 1881-1965",P446
"Perissinotto, Paula, 1963-",
"Perissinotto, Renato Monseff",
"Perissinotto, Sara, 1888-1945",P446
"Perkins, Constance M.",
"Perkins, Diane",
"Perkins, John",P449e
"Perkins, Zoe Annis",P451t
"Perktold, Carlos",
"Perl, Jed",P449n
"Perle, Bianca",
"Perleberg, Hans Carl",
"Perlingeiro, Camila",
"Perlingeiro, Maria Carmen, 1952-",Pm451
"Perlingeiro, MAX, 1940-",
"Perlman, Hirsch, 1960-",
"Perlman, Tamara Brandt",
"Perloff, Marjorie",P451m
"Perlrott-Csaba, Vilmos, 1880-1955",
"Perls, Klaus G.",
"Perlstein, Sylvio",
"Permanyer, Lluis",
"Permeke, Constant, 1886-1952",P451
"Permiggiani, Claudio, 1943-",
"Perneczky, Geza",
"Pernes, Fernando",
"Pernevi, Palle, 1917-",
"Pernice, Giuseppino",P452
"Pernier, Luigi",P452
"Pernoud, Régine",
"Pernter, Hans",
"Perocco, Guido, 1916-1997",
"Perogalli, Carlo",
"Pérol, Brigitte",
"Perol, Gilbert",
"Perot, Jacques",
"Perotti, Aurelia",
"Perov, Kira",
"Perovic, Slaven",
"Perow, Wassili, 1834-1882",
"Perpétua, Mara",
"Perpétuo, Ann",
"Perpétuo, Ann Mary",
"Perpétuo, Matheus, 1980-",
"Perrault, Claude, 1613-1688",
"Perrault, Dominique, 1953-",
"Perrell, Franklin Hill",
"Perret, Auguste, 1874-1954",
"Perret, Gustave, 1876-1952",
"Perri, Denis",
"Perriand, Charlotte, 1903-",
"Perrig, Alexander",Mi623pa
"Perrin, Olivier Stanislas, 1761-1832",
"Perrin, Paul",
"Perrin, Philippe, 1964-",
Perrine Le Blan,
"Perrone- Moisés, Beatriz",
"Perrone, Carlos E. L",
"Perrone, Giuseppe",
"Perrone-Moisés, Beatriz",
"Perrot, Georges",P461h
"Perrot, Michelle",
"Perrota, Vicenta",
"Perrotta-Bosch, Francesco, 1988-",
"Perruga, Iris",
"Perry Posada, Jimena",
"Perry, Clay",
"Perry, Gill",
"Perry, Marilyn",
"Perscuma, Cristina",
"Persekian, Jack, 1962-",
"Pérsia, Vicente de",
"Persiani, Gloria, 1936-",
"Persichetti, Simonetta, 1958-",
"Persico, Edoardo, 1900-1936",P466
"Persico, Mario, 1930-",Pm466
"Persico. Edoardo, 1900-1936",
"Persin, Patrick-Gilles",
"Persoons, François",
"Persoons, Guido",
"Persson, Hasse",
"Perssons, Hans, 1942-",
"Pertile, Fidenzio",
"Pertini, Sandro",
"Pertius, Carlos, 1910-1977",
"Pertocoli, Domenico",
"Pertsch, Matteo, 1780-1834",
"Pertuis, Carlos, 1910-1977",
"Perucchi-Petri, Ursula",
"Perucho, Joan",P586ph
"Peruffo, Brigitta",
"Perugi, Liberto Perugi",
"Perugino, 1446-1523",P471
"Perussaux, Charles",Ch433p
"Perutz, Vivien",M275pe
"Peruzza, Paolo, 1939-2022",
"Peruzzi, Baldassare, 1481-1536",
"Peruzzi, Osvaldo, 1907-",
"Peruzzini, Giovanni",
"Perzolli, Susanna",
"Perzynski, Bogdan, 1954-",
"Pesapane, Lucia",
"Pesaro, Lino",
"Pesce, Gaetano, 1939-",
"Peschard-Erlih, Erika",
"Peschick, Irene, 1937-",
"Pescio, Claudio",GU166p
"Pesciolini, Lisa Venerosi",
"Pescuma, Cristina, 1963-",
"Pesent, Allegra",
"Pesenti, Carlo",
"Pessanha, José Américo Motta",
"Pessin, Malu",
"Pessiot, Marie",
"Pessis, Anne-Marie",S677
"Pessoa Júnior, Osvaldo",
"Pessoa, Ana",
"Pessoa, Denise",
"Pessoa, Epitácio, 1968-",
"Pessoa, Fernando, 1888-1935",
"Pessoa, Giovanna, 1972-",
"Pessoa, Ione",
"Pessoa, Jalber",
"Pessoa, Jane",
"Pessoa, João Alfredo Donas de Sá",
"Pessoa, Jocelino",
"Pessoa, José",
"Pessoa, Luciano",
"Pessoa, Solange, 1961-",
"Pessoa, Zuleno Ferreira da Veiga, 1915-",P475
"Pestana, Albano",
"Pestana, Sabrina, 1985-",
"Pestel, Vera Efimovna, 1888-1952",
Petek Weninger,
Peter  Baum Et Al,
Peter Bacon Hales,
Peter C. Bunnell,
Peter Cariani Et Al,
Peter Grili,
Peter Hahn,
Peter Halm,
Peter Kraft,
Peter M. Lukehart,
Peter Musson,
Peter Naumann,
Peter Pappas,
Peter Rushforth,
Peter S. Meyer,
Peter Schjeldahl Et Al,
Peter Strieder Et Al,
Peter T. Doyle,
Peter Weiermair,
Peter Weininger,
Peter Weninger,
"Peterajová, Ludmila",
"Peterdi, Gabor, 1915-",P479
"Peterich, Eckart",P479g
"Peterline, Nelson, 1907-1988",
"Peterman, Dan, 1960-",
"Peters, Christoph",Et36p
"Peters, Dewitt C.",
"Peters, Diana",
"Peters, Eric",
"Peters, Guilherme, 1987-",Pg481
"Peters, Hans Albert",
"Peters, Lisa N",
"Peters, Paulhans",
"Peters, Plym",
"Peters, Robert, 1938-",
"Peters, Rusty, 1935-",
"Peters, Susan D",
"Petersen, A.J.",
"Petersen, Ad, 1931-2021",P484
"Petersen, Anders, 1944-",Pa484
"Petersen, Carl Vang, 1926-",
"Petersen, Claus",
"Petersen, Hans",
"Petersen, K. Helveg",
"Petersen, Knud P.",
"Petersen, Lene Adler, 1944-",P484
"Petersen, Ole Bent, 1938-",
"Petersen, Vibeke",D131p
"Petersens, Magnus Af",
"Peterson, Elmer T.",
"Peterson, Per",
"Peticov, Antônio, 1946-",P487
"Pétin, M. L'abbé",P487d
"Petit, Francesc, 1934-2013",P489
"Petit, Gabriela",
"Petit, Gaston",P478e
"Petit, Jean",
"Petit, Léonce Justin Alexandre, 1839-1884",
"Petit, Luisa",
"Petit, Luiza",
"Petitjean, Edmond Marie, 1844-1925",P489
"Petitjean, Hyppolyte, 1854-1929",Ph489
"Petkovski, Boris",
"Pétoukhov, Alexeï V.",
Petr Porcal,
"Petraccone, Enzo",G497p
"Petralba, N. N.",
"Petralli, Suzanne Watson",
"Petrás, Istiván",
"Petrascu, Gheorghe, 1872-1949",P493
Petre Maxim,
Petre Maxim Et Al,
"Petresco, Paul",P494t
"Petrescu, Corneliu, 1929-",
"Petri, Renato",
"Petricciuolo, Osvaldo",
"Petrillo, Mila",
"Petrina, Alberto",
"Petrini, Carla, 1963-",P496
"Petrioli, Anna Maria",Dr357p
"Petrocchi, Giorgio",
"Petroli, Maicon",
"Petrolini Junior, Carlos Donato",
"Petrone, Mario",
"Petrone, Pasquale",
"Petrone, Vincenzo",
"Petroni, Giovanni",
"Petroni, Guglielmo",B566p
"Petroni, Marilze Senff, 1946-",Pm497
"Petroni, Marilzes",Pm497
"Petrônio, 27D.C-66D.C",
"Petrova, Evgenia",
"Petrova, Evgenija N.",
"Petrova, Evgeniya",
"Petrová, Sylva",
"Petrova, Yevgenia",
"Petrovic, Milan V., 1893-1978",
"Petrovitch, Ivan",P497p
"Petrovski, Boris",
"Petrov-Vodkin, Kuz'ma, 1878-1939",
"Petrow, Nikolai, 1834-1876",
"Petrowa, Jewgenia",
"Petrowa, Jewgenija",
"Petrowitsch, Ivan",
